query_id,node_id,modality,original_source_parent,pseudo_ground_truth_label,is_pseudo_unknown
Q6K00001,Q6K00001_N01,IMAGE,FMOD0065,UNKNOWN,True
Q6K00001,Q6K00001_N02,STRUCTURED,FMOD0065,UNKNOWN,True
Q6K00001,Q6K00001_N03,CODE_BINARY,FMOD0065,UNKNOWN,True
Q6K00001,Q6K00001_N04,CODE_BINARY,FMOD0065,UNKNOWN,True
Q6K00001,Q6K00001_N05,CODE_BINARY,FMOD0065,UNKNOWN,True
Q6K00001,Q6K00001_N06,CODE_BINARY,FMOD0065,UNKNOWN,True
Q6K00001,Q6K00001_N07,CODE_BINARY,FMOD0065,UNKNOWN,True
Q6K00002,Q6K00002_N01,IMAGE,FMOD0101,UNKNOWN,True
Q6K00002,Q6K00002_N02,CODE_BINARY,FMOD0101,UNKNOWN,True
Q6K00002,Q6K00002_N03,CODE_BINARY,FMOD0101,UNKNOWN,True
Q6K00002,Q6K00002_N04,CODE_BINARY,FMOD0101,UNKNOWN,True
Q6K00002,Q6K00002_N05,STRUCTURED,FMOD0101,UNKNOWN,True
Q6K00002,Q6K00002_N06,CODE_BINARY,FMOD0101,UNKNOWN,True
Q6K00002,Q6K00002_N07,CODE_BINARY,FMOD0101,UNKNOWN,True
Q6K00003,Q6K00003_N01,CODE_BINARY,FMOD0058,UNKNOWN,True
Q6K00003,Q6K00003_N02,CODE_BINARY,FMOD0058,UNKNOWN,True
Q6K00003,Q6K00003_N03,IMAGE,FMOD0058,UNKNOWN,True
Q6K00003,Q6K00003_N04,CODE_BINARY,FMOD0058,UNKNOWN,True
Q6K00003,Q6K00003_N05,STRUCTURED,FMOD0058,UNKNOWN,True
Q6K00003,Q6K00003_N06,CODE_BINARY,FMOD0058,UNKNOWN,True
Q6K00003,Q6K00003_N07,CODE_BINARY,FMOD0058,UNKNOWN,True
Q6K00004,Q6K00004_N01,CODE_BINARY,FMOD0082,UNKNOWN,True
Q6K00004,Q6K00004_N02,CODE_BINARY,FMOD0082,UNKNOWN,True
Q6K00004,Q6K00004_N03,CODE_BINARY,FMOD0082,UNKNOWN,True
Q6K00004,Q6K00004_N04,IMAGE,FMOD0082,UNKNOWN,True
Q6K00004,Q6K00004_N05,CODE_BINARY,FMOD0082,UNKNOWN,True
Q6K00004,Q6K00004_N06,STRUCTURED,FMOD0082,UNKNOWN,True
Q6K00004,Q6K00004_N07,CODE_BINARY,FMOD0082,UNKNOWN,True
Q6K00005,Q6K00005_N01,CODE_BINARY,FMOD0020,UNKNOWN,True
Q6K00005,Q6K00005_N02,IMAGE,FMOD0020,UNKNOWN,True
Q6K00005,Q6K00005_N03,CODE_BINARY,FMOD0020,UNKNOWN,True
Q6K00005,Q6K00005_N04,CODE_BINARY,FMOD0020,UNKNOWN,True
Q6K00005,Q6K00005_N05,STRUCTURED,FMOD0020,UNKNOWN,True
Q6K00005,Q6K00005_N06,CODE_BINARY,FMOD0020,UNKNOWN,True
Q6K00005,Q6K00005_N07,CODE_BINARY,FMOD0020,UNKNOWN,True
Q6K00006,Q6K00006_N01,CODE_BINARY,FMOD0081,UNKNOWN,True
Q6K00006,Q6K00006_N02,CODE_BINARY,FMOD0081,UNKNOWN,True
Q6K00006,Q6K00006_N03,CODE_BINARY,FMOD0081,UNKNOWN,True
Q6K00006,Q6K00006_N04,CODE_BINARY,FMOD0081,UNKNOWN,True
Q6K00006,Q6K00006_N05,IMAGE,FMOD0081,UNKNOWN,True
Q6K00006,Q6K00006_N06,CODE_BINARY,FMOD0081,UNKNOWN,True
Q6K00006,Q6K00006_N07,STRUCTURED,FMOD0081,UNKNOWN,True
Q6K00007,Q6K00007_N01,CODE_BINARY,FMOD0030,UNKNOWN,True
Q6K00007,Q6K00007_N02,IMAGE,FMOD0030,UNKNOWN,True
Q6K00007,Q6K00007_N03,CODE_BINARY,FMOD0030,UNKNOWN,True
Q6K00007,Q6K00007_N04,CODE_BINARY,FMOD0030,UNKNOWN,True
Q6K00007,Q6K00007_N05,STRUCTURED,FMOD0030,UNKNOWN,True
Q6K00007,Q6K00007_N06,CODE_BINARY,FMOD0030,UNKNOWN,True
Q6K00007,Q6K00007_N07,CODE_BINARY,FMOD0030,UNKNOWN,True
Q6K00008,Q6K00008_N01,IMAGE,FMOD0056,UNKNOWN,True
Q6K00008,Q6K00008_N02,CODE_BINARY,FMOD0056,UNKNOWN,True
Q6K00008,Q6K00008_N03,STRUCTURED,FMOD0056,UNKNOWN,True
Q6K00008,Q6K00008_N04,CODE_BINARY,FMOD0056,UNKNOWN,True
Q6K00008,Q6K00008_N05,CODE_BINARY,FMOD0056,UNKNOWN,True
Q6K00008,Q6K00008_N06,CODE_BINARY,FMOD0056,UNKNOWN,True
Q6K00008,Q6K00008_N07,CODE_BINARY,FMOD0056,UNKNOWN,True
Q6K00009,Q6K00009_N01,CODE_BINARY,FMOD0034,UNKNOWN,True
Q6K00009,Q6K00009_N02,CODE_BINARY,FMOD0034,UNKNOWN,True
Q6K00009,Q6K00009_N03,IMAGE,FMOD0034,UNKNOWN,True
Q6K00009,Q6K00009_N04,CODE_BINARY,FMOD0034,UNKNOWN,True
Q6K00009,Q6K00009_N05,CODE_BINARY,FMOD0034,UNKNOWN,True
Q6K00009,Q6K00009_N06,STRUCTURED,FMOD0034,UNKNOWN,True
Q6K00009,Q6K00009_N07,CODE_BINARY,FMOD0034,UNKNOWN,True
Q6K00010,Q6K00010_N01,CODE_BINARY,FMOD0020,UNKNOWN,True
Q6K00010,Q6K00010_N02,CODE_BINARY,FMOD0020,UNKNOWN,True
Q6K00010,Q6K00010_N03,CODE_BINARY,FMOD0020,UNKNOWN,True
Q6K00010,Q6K00010_N04,STRUCTURED,FMOD0020,UNKNOWN,True
Q6K00010,Q6K00010_N05,IMAGE,FMOD0020,UNKNOWN,True
Q6K00010,Q6K00010_N06,CODE_BINARY,FMOD0020,UNKNOWN,True
Q6K00010,Q6K00010_N07,CODE_BINARY,FMOD0020,UNKNOWN,True
Q6K00011,Q6K00011_N01,CODE_BINARY,FMOD0041,UNKNOWN,True
Q6K00011,Q6K00011_N02,IMAGE,FMOD0041,UNKNOWN,True
Q6K00011,Q6K00011_N03,CODE_BINARY,FMOD0041,UNKNOWN,True
Q6K00011,Q6K00011_N04,CODE_BINARY,FMOD0041,UNKNOWN,True
Q6K00011,Q6K00011_N05,CODE_BINARY,FMOD0041,UNKNOWN,True
Q6K00011,Q6K00011_N06,CODE_BINARY,FMOD0041,UNKNOWN,True
Q6K00011,Q6K00011_N07,STRUCTURED,FMOD0041,UNKNOWN,True
Q6K00012,Q6K00012_N01,CODE_BINARY,FMOD0045,UNKNOWN,True
Q6K00012,Q6K00012_N02,CODE_BINARY,FMOD0045,UNKNOWN,True
Q6K00012,Q6K00012_N03,CODE_BINARY,FMOD0045,UNKNOWN,True
Q6K00012,Q6K00012_N04,CODE_BINARY,FMOD0045,UNKNOWN,True
