modrinth_id,title,slug,github_repo,source_url,license,downloads,manifest_count,java,kotlin,json,yaml,xml,png,jpg,code_total,structured_total,image_total,role,modrinth_categories,client_side,server_side,project_status,description,frozen_commit_sha
P7dR8mSH,Fabric API,fabric-api,FabricMC/fabric,https://github.com/FabricMC/fabric,Apache-2.0,229825433,38,821,0,181,0,0,39,0,821,181,39,BACKGROUND_LIBRARY,"[""library""]",optional,optional,approved,Lightweight and modular API providing common hooks and intercompatibility measures utilized by mods using the Fabric toolchain.,adde6ddb087291497b53067151469a83d8886997
mOgUt4GM,Mod Menu,modmenu,TerraformersMC/ModMenu,https://github.com/TerraformersMC/ModMenu,MIT,131477759,1,52,0,72,0,0,28,0,52,72,28,TARGET_MOD,"[""utility""]",required,unsupported,approved,Adds a mod menu to view the list of mods you have installed.,0501241fd7e571377a7321777afa1e15800830be
Ha28R6CL,Fabric Language Kotlin,fabric-language-kotlin,FabricMC/fabric-language-kotlin,https://github.com/FabricMC/fabric-language-kotlin/,Apache-2.0,106954401,1,0,2,1,0,0,1,0,2,1,1,BACKGROUND_LIBRARY,"[""library""]",optional,optional,approved,This is a mod that enables usage of the Kotlin programming language for Fabric mods.,905cfc974f64c5809d19b582ef39ce88887004a0
Bh37bMuy,Reese's Sodium Options,reeses-sodium-options,FlashyReese/reeses-sodium-options,https://github.com/FlashyReese/reeses-sodium-options,MIT,74193347,1,68,0,20,0,0,3,0,68,20,3,TARGET_MOD,"[""utility""]",required,unsupported,approved,Alternative Options Menu for Sodium,fee0aad7d0d6c2f7ed4b928d1ce00cf395d1bb10
u6dRKJwZ,Just Enough Items (JEI),jei,mezz/JustEnoughItems,https://github.com/mezz/JustEnoughItems,MIT,69173756,2,934,7,41,0,0,45,0,941,41,45,BACKGROUND_LIBRARY,"[""library"", ""utility""]",optional,optional,approved,View Items and Recipes,4b3fe6d2bcfbacaceb8971ca6259c1699e8ff6e9
8BmcQJ2H,Geckolib,geckolib,bernie-g/geckolib,https://github.com/bernie-g/geckolib,MIT,62837787,1,350,1,3,0,0,1,0,351,3,1,BACKGROUND_LIBRARY,"[""game-mechanics"", ""library"", ""utility""]",required,optional,approved,"A 3D animation library for entities, blocks, items, armor, and more!",05048071ce4801969237ffdca0b73223e986d94d
LQ3K71Q1,Dynamic FPS,dynamic-fps,juliand665/Dynamic-FPS,https://github.com/juliand665/Dynamic-FPS,MIT,60297554,2,59,0,38,0,0,30,0,59,38,30,TARGET_MOD,"[""management"", ""optimization"", ""utility""]",required,unsupported,approved,"Reduce resource usage while Minecraft is in the background, idle, or on battery.",b2a7c3b1fc2833a9fcb433827256ddd2f605671a
aC3cM3Vq,Mouse Tweaks,mouse-tweaks,YaLTeR/MouseTweaks,https://github.com/YaLTeR/MouseTweaks,BSD-3-Clause,53020938,1,26,0,3,0,0,1,0,26,3,1,TARGET_MOD,"[""storage"", ""utility""]",required,unsupported,approved,Enhances inventory management by adding various functions to the mouse buttons. ,e268872693a47f3d189a4003819a7338c13db24a
Wb5oqrBJ,Chat Heads,chat-heads,dzwdz/chat_heads,https://github.com/dzwdz/chat_heads,MPL-2.0,44903313,1,47,0,17,0,0,2,0,47,17,2,TARGET_MOD,"[""decoration"", ""social""]",required,unsupported,approved,See who you're chatting with!,227b032f63a2a09031773312946a53cb385cb606
ccKDOlHs,oωo (owo-lib),owo-lib,glisco03/owo-lib,https://github.com/glisco03/owo-lib,MIT,43922163,2,652,0,24,0,3,40,0,652,27,40,BACKGROUND_LIBRARY,"[""library""]",required,required,approved,"A general utility, GUI and config library for modding on Fabric and Quilt",1fb7971326ba945b5a2a9cf7985c451136dfdbbc
Orvt0mRa,Indium,indium,comp500/Indium,https://github.com/comp500/Indium,Apache-2.0,42488563,1,39,0,2,0,0,1,0,39,2,1,TARGET_MOD,"[""utility""]",required,unsupported,approved,"Sodium addon providing support for the Fabric Rendering API, based on Indigo",c4203e6fc442a21706f49c482c9e47e4b50f9847
g96Z4WVZ,BadOptimizations,badoptimizations,ItsThosea/BadOpitmizations,https://github.com/ItsThosea/BadOpitmizations,MIT,38127918,1,33,0,2,0,0,2,0,33,2,2,TARGET_MOD,"[""optimization""]",required,unsupported,approved,Optimization mod that focuses on things other than rendering,5de4a3ad4299909178d8995dc0bc80626be48d44
uLbm7CG6,Language Reload,language-reload,Jerozgen/LanguageReload,https://github.com/Jerozgen/LanguageReload,MIT,37176713,1,33,0,21,0,0,9,0,33,21,9,TARGET_MOD,"[""optimization"", ""utility""]",required,unsupported,approved,Reduces load times and adds fallbacks for languages,9c6540f344576ca17e056913e14cdc2fd35a8762
fuuu3xnx,Searchables,searchables,jaredlll08/searchables,https://github.com/jaredlll08/searchables,MIT,35280031,1,44,0,31,0,0,1,0,44,31,1,BACKGROUND_LIBRARY,"[""library"", ""utility""]",required,unsupported,approved,"Searchables is a library mod that adds helper methods that allow for searching and filtering elements based on components, as well as offering built in auto-complete functionality.",10cb075ae5f3526bda799b9a37d8e2769a0277d6
xv94TkTM,Controlling,controlling,jaredlll08/Controlling,https://github.com/jaredlll08/Controlling,MIT,35233147,1,54,0,28,0,0,1,0,54,28,1,TARGET_MOD,"[""utility""]",required,unsupported,approved,Adds a search bar to the Key-Bindings menu,91ae7216b5a8ecf9325e33587a3b55342f9dd687
Wnxd13zP,Clumps,clumps,jaredlll08/Clumps,https://github.com/jaredlll08/Clumps,MIT,34825322,1,25,0,2,0,0,1,0,25,2,1,TARGET_MOD,"[""storage"", ""utility""]",optional,optional,approved,Clumps XP orbs together to reduce lag,6c4d4e4bee4c0d9f7cff5de802508e27914aadca
2M01OLQq,Shulker Box Tooltip,shulkerboxtooltip,MisterPeModder/ShulkerBoxTooltip,https://github.com/MisterPeModder/ShulkerBoxTooltip,MIT,34005651,1,175,0,21,0,0,4,0,175,21,4,TARGET_MOD,"[""storage"", ""utility""]",required,optional,approved,View the contents of shulker boxes from your inventory,9a07ddfff29a211fd1c9462b115f931b953950da
VSNURh3q,Concurrent Chunk Management Engine (Fabric),c2me-fabric,RelativityMC/C2ME-fabric,https://github.com/RelativityMC/C2ME-fabric,MIT,33447629,23,624,0,46,0,0,1,0,624,46,1,TARGET_MOD,"[""optimization""]",optional,required,approved,A Fabric mod designed to improve the chunk performance of Minecraft.,e532821f3e636ce2873a182f51de90969673942b
G1hIVOrD,Resourceful Lib,resourceful-lib,Team-Resourceful/ResourcefulLib,https://github.com/Team-Resourceful/ResourcefulLib,MIT,32224690,1,214,0,3,0,0,0,0,214,3,0,BACKGROUND_LIBRARY,"[""library""]",required,required,approved,Resourceful Lib,8f97c06ccfe6bf2b9ea378b27f316e6fe7d9763d
8shC1gFX,BetterF3,betterf3,TreyRuffy/BetterF3,https://github.com/TreyRuffy/BetterF3,MIT,31531759,1,61,0,112,0,0,2,0,61,112,2,TARGET_MOD,"[""decoration"", ""game-mechanics"", ""utility""]",required,unsupported,approved,"BetterF3 is a mod that replaces Minecraft's original debug HUD with a highly customizable, more human-readable HUD.",781d6125b497201fca69fc7c7a41c535aeaf815b
rI0hvYcd,Visuality,visuality,PinkGoosik/visuality,https://github.com/PinkGoosik/visuality,MIT,27064822,1,27,0,27,0,0,46,0,27,27,46,TARGET_MOD,"[""decoration""]",required,unsupported,approved,Little visual improvements by adding a bunch of new particles.,3f4c84b15c4d9e323359daa0fa042929e493f445
fRiHVvU7,EMI,emi,emilyploszaj/emi,https://github.com/emilyploszaj/emi/,MIT,26086953,1,341,0,70,0,0,9,0,341,70,9,BACKGROUND_LIBRARY,"[""library"", ""utility""]",required,optional,approved,A featureful and accessible item and recipe viewer,4c22e3b05b6e60b5a5251755dbfdeaf8b0c4d472
c7m1mi73,Packet Fixer,packet-fixer,TonimatasDEV/PacketFixer,https://github.com/TonimatasDEV/PacketFixer,MIT,26028362,1,32,0,4,0,0,1,0,32,4,1,TARGET_MOD,"[""optimization"", ""utility""]",optional,optional,approved,"A simple mod to fix various problems with packets, nbt and timeouts.",e34f4d21e2daefa5dd0686726b11f2d239e4e593
codAaoxh,MidnightLib,midnightlib,TeamMidnightDust/MidnightLib,https://github.com/TeamMidnightDust/MidnightLib,MIT,25146984,8,13,1,21,0,0,18,0,14,21,18,BACKGROUND_LIBRARY,"[""library"", ""utility""]",optional,optional,approved,Common library providing a lightweight configuration system,877c787e26909f510ec3e51f09a75f92ee1b2684
WhbRG4iK,Falling Leaves,fallingleaves,Fourmisain/fallingleaves,https://github.com/Fourmisain/fallingleaves,MIT,25071214,1,44,0,17,0,0,10,0,44,17,10,TARGET_MOD,"[""decoration""]",required,unsupported,approved,Adds a neat little particle effect to leaf blocks,710999fe431fa1a98ad0d3563ae6f0d894451d14
ETlrkaYF,Cubes Without Borders,cubes-without-borders,Kira-NT/cubes-without-borders,https://github.com/Kira-NT/cubes-without-borders,MIT,24857827,1,20,0,14,0,0,1,0,20,14,1,TARGET_MOD,"[""optimization"", ""utility""]",required,unsupported,approved,Allows you to play Minecraft in a borderless fullscreen window.,9e096f77565c3e18ab8977930995902edd600ac0
gedNE4y2,playerAnimator,playeranimator,KosmX/fabricPlayerAnimation,https://github.com/KosmX/fabricPlayerAnimation,MIT,24848139,1,102,0,4,0,0,0,0,102,4,0,BACKGROUND_LIBRARY,"[""library""]",required,required,approved,animate the player,cb3227efc19ec46065597332ae265076d0f2b495
4H6sumDB,Euphoria Patches,euphoria-patches,EuphoriaPatches/EuphoriaPatcher,https://github.com/EuphoriaPatches/EuphoriaPatcher,MPL-2.0,24496677,1,158,20,6,0,0,4,0,178,6,4,TARGET_MOD,"[""technology"", ""utility""]",required,unsupported,approved,"Euphoria Patches is an add-on for Complementary Shaders, extending it with more optional features and settings.",b21235f275423b4a2a8bba7d36f0092710d473cc
nfn13YXA,Roughly Enough Items (REI),rei,shedaniel/RoughlyEnoughItems,https://github.com/shedaniel/RoughlyEnoughItems,MIT,24267061,1,641,0,37,0,0,52,0,641,37,52,TARGET_MOD,[],optional,optional,approved,Clean and Customizable. Alternative to Just Enough Items/JEI.,2be20928abd9f1164fd9fd251268041c036b580f
3IuO68q1,Puzzle,puzzle,PuzzleMC/Puzzle,https://github.com/PuzzleMC/Puzzle,MIT,23389941,1,11,1,17,0,0,4,0,12,17,4,BACKGROUND_LIBRARY,"[""library"", ""utility""]",required,unsupported,approved,Adds resourcepack features and a GUI to configure OptiFine alternatives more conveniently.,9de9cdd2510bcb4f110a35abc851997c3e39b3ef
