query_id,scenario,k_true,phase7h_k_pred,server_k_pred,parent_set_match,k_match,selected_subset_match,candidate_pool_match,component_matches,component_expected,all_components_match,full_query_match,client_roundtrip_ms,server_internal_total_ms
Q6K00181,TEST_KNOWN_K1,1,1,1,True,True,True,True,7,7,True,True,124.08969999887631,1.1404
Q6K00182,TEST_KNOWN_K1,1,2,2,True,True,True,True,7,7,True,True,30.609400000685127,0.983
Q6K00183,TEST_KNOWN_K1,1,2,2,True,True,True,True,7,7,True,True,44.529200000397395,1.0978
Q6K00184,TEST_KNOWN_K1,1,2,2,True,True,True,True,7,7,True,True,33.733599997503916,0.9899
Q6K00185,TEST_KNOWN_K1,1,2,2,True,True,True,True,7,7,True,True,11.940799999138108,0.9124
Q6K00186,TEST_KNOWN_K1,1,1,1,True,True,True,True,7,7,True,True,12.064000002283137,0.9407
Q6K00187,TEST_KNOWN_K1,1,1,1,True,True,True,True,7,7,True,True,38.75830000106362,0.9412
Q6K00188,TEST_KNOWN_K1,1,3,3,True,True,True,True,7,7,True,True,12.19889999993029,0.9422
Q6K00189,TEST_KNOWN_K1,1,1,1,True,True,True,True,7,7,True,True,12.132600000768434,0.9377
Q6K00190,TEST_KNOWN_K1,1,2,2,True,True,True,True,7,7,True,True,12.221200002386468,1.1468
Q6K00191,TEST_KNOWN_K1,1,1,1,True,True,True,True,7,7,True,True,34.27229999942938,1.0555
Q6K00192,TEST_KNOWN_K1,1,2,2,True,True,True,True,7,7,True,True,30.07889999935287,0.9414
Q6K00193,TEST_KNOWN_K1,1,2,2,True,True,True,True,7,7,True,True,11.118999998871004,0.9879
Q6K00194,TEST_KNOWN_K1,1,1,1,True,True,True,True,7,7,True,True,34.27500000179862,0.9293
Q6K00195,TEST_KNOWN_K1,1,1,1,True,True,True,True,7,7,True,True,30.75899999748799,0.9333
Q6K00196,TEST_KNOWN_K1,1,1,1,True,True,True,True,7,7,True,True,12.01980000041658,1.1272
Q6K00197,TEST_KNOWN_K1,1,2,2,True,True,True,True,7,7,True,True,12.027500000840519,1.0837
Q6K00198,TEST_KNOWN_K1,1,1,1,True,True,True,True,7,7,True,True,12.072500001522712,1.0331
Q6K00199,TEST_KNOWN_K1,1,2,2,True,True,True,True,7,7,True,True,11.509899999509798,0.969
Q6K00200,TEST_KNOWN_K1,1,2,2,True,True,True,True,7,7,True,True,28.355700000247452,0.8755
Q6K00201,TEST_KNOWN_K1,1,2,2,True,True,True,True,7,7,True,True,11.680399999022484,0.9062
Q6K00202,TEST_KNOWN_K1,1,2,2,True,True,True,True,7,7,True,True,12.239600000611972,0.9124
Q6K00203,TEST_KNOWN_K1,1,2,2,True,True,True,True,7,7,True,True,35.209899997425964,1.0228
Q6K00204,TEST_KNOWN_K1,1,2,2,True,True,True,True,7,7,True,True,32.88629999951809,1.0934
Q6K00205,TEST_KNOWN_K1,1,2,2,True,True,True,True,7,7,True,True,11.5215999976499,0.944
Q6K00206,TEST_KNOWN_K1,1,2,2,True,True,True,True,7,7,True,True,12.324200000875862,0.9692
Q6K00207,TEST_KNOWN_K1,1,1,1,True,True,True,True,7,7,True,True,13.032500002736924,0.9657
Q6K00208,TEST_KNOWN_K1,1,3,3,True,True,True,True,7,7,True,True,35.364000003028195,0.9352
Q6K00209,TEST_KNOWN_K1,1,2,2,True,True,True,True,7,7,True,True,12.021999998978572,0.9195
Q6K00210,TEST_KNOWN_K1,1,2,2,True,True,True,True,7,7,True,True,12.3901000006299,0.899
Q6K00211,TEST_KNOWN_K1,1,1,1,True,True,True,True,7,7,True,True,39.05680000025313,0.919
Q6K00212,TEST_KNOWN_K1,1,2,2,True,True,True,True,7,7,True,True,11.813299999630544,0.9399
Q6K00213,TEST_KNOWN_K1,1,2,2,True,True,True,True,7,7,True,True,28.921599998284364,0.9721
Q6K00214,TEST_KNOWN_K1,1,2,2,True,True,True,True,7,7,True,True,30.55049999966286,1.0287
Q6K00215,TEST_KNOWN_K1,1,1,1,True,True,True,True,7,7,True,True,30.96949999962817,0.9943
Q6K00216,TEST_KNOWN_K1,1,2,2,True,True,True,True,7,7,True,True,30.026899999938905,0.8584
Q6K00217,TEST_KNOWN_K1,1,2,2,True,True,True,True,7,7,True,True,29.14740000051097,0.8814
Q6K00218,TEST_KNOWN_K1,1,2,2,True,True,True,True,7,7,True,True,11.684200002491707,0.877
Q6K00219,TEST_KNOWN_K1,1,2,2,True,True,True,True,7,7,True,True,34.62740000031772,0.8949
Q6K00220,TEST_KNOWN_K1,1,1,1,True,True,True,True,7,7,True,True,29.83459999813931,0.9287
Q6K00221,TEST_KNOWN_K1,1,2,2,True,True,True,True,7,7,True,True,30.16589999970165,1.0206
Q6K00222,TEST_KNOWN_K1,1,1,1,True,True,True,True,7,7,True,True,11.720000002242159,0.9207
Q6K00223,TEST_KNOWN_K1,1,1,1,True,True,True,True,7,7,True,True,12.146799999754876,0.9846
Q6K00224,TEST_KNOWN_K1,1,2,2,True,True,True,True,7,7,True,True,36.235000003216555,0.9302
Q6K00225,TEST_KNOWN_K1,1,1,1,True,True,True,True,7,7,True,True,30.0937999963935,0.9475
Q6K00226,TEST_KNOWN_K1,1,2,2,True,True,True,True,7,7,True,True,29.896899999585003,0.9238
Q6K00227,TEST_KNOWN_K1,1,2,2,True,True,True,True,7,7,True,True,29.74280000125873,0.8688
Q6K00228,TEST_KNOWN_K1,1,2,2,True,True,True,True,7,7,True,True,12.740199999825563,0.9308
Q6K00229,TEST_KNOWN_K1,1,1,1,True,True,True,True,7,7,True,True,11.937300001591211,0.9584
Q6K00230,TEST_KNOWN_K1,1,2,2,True,True,True,True,7,7,True,True,11.682399999699555,0.8933
