query_id,parent_count,representation,method,component_accuracy,parent_precision,parent_recall,parent_f1,parent_set_exact,component_set_exact
Q0001,2,OPCODE_3GRAM,B1_INDEPENDENT,0.3333333333333333,0.4,1.0,0.5714285714285715,False,False
Q0001,2,OPCODE_3GRAM,B2_PACKAGE_AGGREGATION,0.3333333333333333,0.5,0.5,0.5,False,False
Q0001,2,OPCODE_3GRAM,B3_DEPENDENCY,0.5,0.5,0.5,0.5,False,False
Q0001,2,OPCODE_STRUCT,B1_INDEPENDENT,0.3333333333333333,0.4,1.0,0.5714285714285715,False,False
Q0001,2,OPCODE_STRUCT,B2_PACKAGE_AGGREGATION,0.0,0.0,0.0,0.0,False,False
Q0001,2,OPCODE_STRUCT,B3_DEPENDENCY,0.5,0.5,0.5,0.5,False,False
Q0001,2,OPCODE_CONTEXT,B1_INDEPENDENT,0.5,0.4,1.0,0.5714285714285715,False,False
Q0001,2,OPCODE_CONTEXT,B2_PACKAGE_AGGREGATION,0.16666666666666666,0.5,0.5,0.5,False,False
Q0001,2,OPCODE_CONTEXT,B3_DEPENDENCY,0.5,0.5,0.5,0.5,False,False
Q0002,2,OPCODE_3GRAM,B1_INDEPENDENT,0.16666666666666666,0.25,0.5,0.3333333333333333,False,False
Q0002,2,OPCODE_3GRAM,B2_PACKAGE_AGGREGATION,0.0,0.0,0.0,0.0,False,False
Q0002,2,OPCODE_3GRAM,B3_DEPENDENCY,0.0,0.0,0.0,0.0,False,False
Q0002,2,OPCODE_STRUCT,B1_INDEPENDENT,0.16666666666666666,0.2,0.5,0.28571428571428575,False,False
Q0002,2,OPCODE_STRUCT,B2_PACKAGE_AGGREGATION,0.0,0.0,0.0,0.0,False,False
Q0002,2,OPCODE_STRUCT,B3_DEPENDENCY,0.0,0.0,0.0,0.0,False,False
Q0002,2,OPCODE_CONTEXT,B1_INDEPENDENT,0.3333333333333333,0.2,0.5,0.28571428571428575,False,False
Q0002,2,OPCODE_CONTEXT,B2_PACKAGE_AGGREGATION,0.0,0.0,0.0,0.0,False,False
Q0002,2,OPCODE_CONTEXT,B3_DEPENDENCY,0.5,0.5,0.5,0.5,False,False
Q0003,2,OPCODE_3GRAM,B1_INDEPENDENT,0.5,0.4,1.0,0.5714285714285715,False,False
