query_id,parent_set_match,candidate_top10_match,selected_subset_match,k_match,component_matches,components_expected,full_match
Q6K00181,True,True,True,True,7,7,True
Q6K00182,True,True,True,True,7,7,True
Q6K00183,True,True,True,True,7,7,True
Q6K00184,True,True,True,True,7,7,True
Q6K00185,True,True,True,True,7,7,True
Q6K00186,True,True,True,True,7,7,True
Q6K00187,True,True,True,True,7,7,True
Q6K00188,True,True,True,True,7,7,True
Q6K00189,True,True,True,True,7,7,True
Q6K00190,True,True,True,True,7,7,True
Q6K00191,True,True,True,True,7,7,True
Q6K00192,True,True,True,True,7,7,True
Q6K00193,True,True,True,True,7,7,True
Q6K00194,True,True,True,True,7,7,True
Q6K00195,True,True,True,True,7,7,True
Q6K00196,True,True,True,True,7,7,True
Q6K00197,True,True,True,True,7,7,True
Q6K00198,True,True,True,True,7,7,True
Q6K00199,True,True,True,True,7,7,True
Q6K00200,True,True,True,True,7,7,True
Q6K00201,True,True,True,True,7,7,True
Q6K00202,True,True,True,True,7,7,True
Q6K00203,True,True,True,True,7,7,True
Q6K00204,True,True,True,True,7,7,True
Q6K00205,True,True,True,True,7,7,True
Q6K00206,True,True,True,True,7,7,True
Q6K00207,True,True,True,True,7,7,True
Q6K00208,True,True,True,True,7,7,True
Q6K00209,True,True,True,True,7,7,True
Q6K00210,True,True,True,True,7,7,True
Q6K00211,True,True,True,True,7,7,True
Q6K00212,True,True,True,True,7,7,True
Q6K00213,True,True,True,True,7,7,True
Q6K00214,True,True,True,True,7,7,True
Q6K00215,True,True,True,True,7,7,True
Q6K00216,True,True,True,True,7,7,True
Q6K00217,True,True,True,True,7,7,True
Q6K00218,True,True,True,True,7,7,True
Q6K00219,True,True,True,True,7,7,True
Q6K00220,True,True,True,True,7,7,True
Q6K00221,True,True,True,True,7,7,True
Q6K00222,True,True,True,True,7,7,True
Q6K00223,True,True,True,True,7,7,True
Q6K00224,True,True,True,True,7,7,True
Q6K00225,True,True,True,True,7,7,True
Q6K00226,True,True,True,True,7,7,True
Q6K00227,True,True,True,True,7,7,True
Q6K00228,True,True,True,True,7,7,True
Q6K00229,True,True,True,True,7,7,True
Q6K00230,True,True,True,True,7,7,True
Q6K00231,True,True,True,True,7,7,True
Q6K00232,True,True,True,True,7,7,True
Q6K00233,True,True,True,True,7,7,True
Q6K00234,True,True,True,True,7,7,True
Q6K00235,True,True,True,True,7,7,True
Q6K00236,True,True,True,True,7,7,True
Q6K00237,True,True,True,True,7,7,True
Q6K00238,True,True,True,True,7,7,True
Q6K00239,True,True,True,True,7,7,True
Q6K00240,True,True,True,True,7,7,True
Q6K00241,True,True,True,True,7,7,True
Q6K00242,True,True,True,True,7,7,True
Q6K00243,True,True,True,True,7,7,True
Q6K00244,True,True,True,True,7,7,True
Q6K00245,True,True,True,True,7,7,True
Q6K00246,True,True,True,True,7,7,True
Q6K00247,True,True,True,True,7,7,True
Q6K00248,True,True,True,True,7,7,True
Q6K00249,True,True,True,True,7,7,True
Q6K00250,True,True,True,True,7,7,True
Q6K00251,True,True,True,True,7,7,True
Q6K00252,True,True,True,True,7,7,True
Q6K00253,True,True,True,True,7,7,True
Q6K00254,True,True,True,True,7,7,True
Q6K00255,True,True,True,True,7,7,True
Q6K00256,True,True,True,True,7,7,True
Q6K00257,True,True,True,True,7,7,True
Q6K00258,True,True,True,True,7,7,True
Q6K00259,True,True,True,True,7,7,True
Q6K00260,True,True,True,True,7,7,True
Q6K00261,True,True,True,True,7,7,True
Q6K00262,True,True,True,True,7,7,True
Q6K00263,True,True,True,True,7,7,True
Q6K00264,True,True,True,True,7,7,True
Q6K00265,True,True,True,True,7,7,True
Q6K00266,True,True,True,True,7,7,True
Q6K00267,True,True,True,True,7,7,True
Q6K00268,True,True,True,True,7,7,True
Q6K00269,True,True,True,True,7,7,True
Q6K00270,True,True,True,True,7,7,True
Q6K00271,True,True,True,True,7,7,True
Q6K00272,True,True,True,True,7,7,True
Q6K00273,True,True,True,True,7,7,True
Q6K00274,True,True,True,True,7,7,True
Q6K00275,True,True,True,True,7,7,True
Q6K00276,True,True,True,True,7,7,True
Q6K00277,True,True,True,True,7,7,True
Q6K00278,True,True,True,True,7,7,True
Q6K00279,True,True,True,True,7,7,True
Q6K00280,True,True,True,True,7,7,True
Q6K00281,True,True,True,True,7,7,True
Q6K00282,True,True,True,True,7,7,True
Q6K00283,True,True,True,True,7,7,True
Q6K00284,True,True,True,True,7,7,True
Q6K00285,True,True,True,True,7,7,True
Q6K00286,True,True,True,True,7,7,True
Q6K00287,True,True,True,True,7,7,True
Q6K00288,True,True,True,True,7,7,True
Q6K00289,True,True,True,True,7,7,True
Q6K00290,True,True,True,True,7,7,True
Q6K00291,True,True,True,True,7,7,True
Q6K00292,True,True,True,True,7,7,True
Q6K00293,True,True,True,True,7,7,True
Q6K00294,True,True,True,True,7,7,True
Q6K00295,True,True,True,True,7,7,True
Q6K00296,True,True,True,True,7,7,True
Q6K00297,True,True,True,True,7,7,True
Q6K00298,True,True,True,True,7,7,True
Q6K00299,True,True,True,True,7,7,True
Q6K00300,True,True,True,True,7,7,True
Q6K00301,True,True,True,True,7,7,True
Q6K00302,True,True,True,True,7,7,True
Q6K00303,True,True,True,True,7,7,True
Q6K00304,True,True,True,True,7,7,True
Q6K00305,True,True,True,True,7,7,True
Q6K00306,True,True,True,True,7,7,True
Q6K00307,True,True,True,True,7,7,True
Q6K00308,True,True,True,True,7,7,True
Q6K00309,True,True,True,True,7,7,True
Q6K00310,True,True,True,True,7,7,True
Q6K00311,True,True,True,True,7,7,True
Q6K00312,True,True,True,True,7,7,True
Q6K00313,True,True,True,True,7,7,True
Q6K00314,True,True,True,True,7,7,True
Q6K00315,True,True,True,True,7,7,True
Q6K00316,True,True,True,True,7,7,True
Q6K00317,True,True,True,True,7,7,True
Q6K00318,True,True,True,True,7,7,True
Q6K00319,True,True,True,True,7,7,True
Q6K00320,True,True,True,True,7,7,True
Q6K00321,True,True,True,True,7,7,True
Q6K00322,True,True,True,True,7,7,True
Q6K00323,True,True,True,True,7,7,True
Q6K00324,True,True,True,True,7,7,True
Q6K00325,True,True,True,True,7,7,True
Q6K00326,True,True,True,True,7,7,True
Q6K00327,True,True,True,True,7,7,True
Q6K00328,True,True,True,True,7,7,True
Q6K00329,True,True,True,True,7,7,True
Q6K00330,True,True,True,True,7,7,True
Q6K00331,True,True,True,True,7,7,True
Q6K00332,True,True,True,True,7,7,True
Q6K00333,True,True,True,True,7,7,True
Q6K00334,True,True,True,True,7,7,True
Q6K00335,True,True,True,True,7,7,True
Q6K00336,True,True,True,True,7,7,True
Q6K00337,True,True,True,True,7,7,True
Q6K00338,True,True,True,True,7,7,True
Q6K00339,True,True,True,True,7,7,True
Q6K00340,True,True,True,True,7,7,True
Q6K00341,True,True,True,True,7,7,True
Q6K00342,True,True,True,True,7,7,True
Q6K00343,True,True,True,True,7,7,True
Q6K00344,True,True,True,True,7,7,True
Q6K00345,True,True,True,True,7,7,True
Q6K00346,True,True,True,True,7,7,True
Q6K00347,True,True,True,True,7,7,True
Q6K00348,True,True,True,True,7,7,True
Q6K00349,True,True,True,True,7,7,True
Q6K00350,True,True,True,True,7,7,True
Q6K00351,True,True,True,True,7,7,True
Q6K00352,True,True,True,True,7,7,True
Q6K00353,True,True,True,True,7,7,True
Q6K00354,True,True,True,True,7,7,True
Q6K00355,True,True,True,True,7,7,True
Q6K00356,True,True,True,True,7,7,True
