backend,query_id,scenario,shortlist_parent_count,candidate_pool_count,known_true_parent_count,known_parent_recall,all_known_true_parents_present,exact_top10_overlap,exact_top10_identical,search_ms,candidate_pool
EXACT,Q6K00181,TEST_KNOWN_K1,60,10,1,1.0,True,1.0,True,12.532991,"[""FMOD0077"", ""FMOD0005"", ""FMOD0023"", ""FMOD0069"", ""FMOD0083"", ""FMOD0119"", ""FMOD0025"", ""FMOD0067"", ""FMOD0120"", ""FMOD0110""]"
EXACT,Q6K00182,TEST_KNOWN_K1,60,10,1,1.0,True,1.0,True,10.979339,"[""FMOD0001"", ""FMOD0035"", ""FMOD0055"", ""FMOD0080"", ""FMOD0023"", ""FMOD0110"", ""FMOD0043"", ""FMOD0102"", ""FMOD0120"", ""FMOD0096""]"
EXACT,Q6K00183,TEST_KNOWN_K1,60,10,1,1.0,True,1.0,True,11.241424,"[""FMOD0023"", ""FMOD0036"", ""FMOD0119"", ""FMOD0035"", ""FMOD0120"", ""FMOD0102"", ""FMOD0110"", ""FMOD0075"", ""FMOD0005"", ""FMOD0077""]"
EXACT,Q6K00184,TEST_KNOWN_K1,60,10,1,1.0,True,1.0,True,12.464531,"[""FMOD0004"", ""FMOD0067"", ""FMOD0113"", ""FMOD0036"", ""FMOD0110"", ""FMOD0024"", ""FMOD0043"", ""FMOD0083"", ""FMOD0035"", ""FMOD0025""]"
EXACT,Q6K00185,TEST_KNOWN_K1,60,10,1,1.0,True,1.0,True,10.602694,"[""FMOD0096"", ""FMOD0023"", ""FMOD0120"", ""FMOD0119"", ""FMOD0035"", ""FMOD0069"", ""FMOD0102"", ""FMOD0055"", ""FMOD0005"", ""FMOD0036""]"
EXACT,Q6K00186,TEST_KNOWN_K1,60,10,1,1.0,True,1.0,True,10.868643,"[""FMOD0077"", ""FMOD0023"", ""FMOD0086"", ""FMOD0110"", ""FMOD0067"", ""FMOD0069"", ""FMOD0005"", ""FMOD0120"", ""FMOD0119"", ""FMOD0025""]"
EXACT,Q6K00187,TEST_KNOWN_K1,60,10,1,1.0,True,1.0,True,11.075304,"[""FMOD0086"", ""FMOD0050"", ""FMOD0024"", ""FMOD0110"", ""FMOD0036"", ""FMOD0069"", ""FMOD0119"", ""FMOD0077"", ""FMOD0120"", ""FMOD0044""]"
EXACT,Q6K00188,TEST_KNOWN_K1,60,10,1,1.0,True,1.0,True,11.097212,"[""FMOD0001"", ""FMOD0086"", ""FMOD0035"", ""FMOD0119"", ""FMOD0110"", ""FMOD0120"", ""FMOD0036"", ""FMOD0055"", ""FMOD0102"", ""FMOD0005""]"
EXACT,Q6K00189,TEST_KNOWN_K1,60,10,1,1.0,True,1.0,True,11.119789,"[""FMOD0087"", ""FMOD0102"", ""FMOD0119"", ""FMOD0079"", ""FMOD0055"", ""FMOD0051"", ""FMOD0036"", ""FMOD0091"", ""FMOD0005"", ""FMOD0023""]"
EXACT,Q6K00190,TEST_KNOWN_K1,60,10,1,1.0,True,1.0,True,10.826674,"[""FMOD0050"", ""FMOD0086"", ""FMOD0069"", ""FMOD0025"", ""FMOD0120"", ""FMOD0119"", ""FMOD0102"", ""FMOD0005"", ""FMOD0033"", ""FMOD0035""]"
