anonymous_query_id,query_id,node_id,scenario,gt,nicad_pred,proposed_pred,high_confidence_source_mapping
Q0001,Q6K00181,Q6K00181_N01,TEST_KNOWN_K1,FMOD0077,FMOD0077,FMOD0077,False
Q0001,Q6K00181,Q6K00181_N02,TEST_KNOWN_K1,FMOD0077,FMOD0077,FMOD0077,False
Q0001,Q6K00181,Q6K00181_N04,TEST_KNOWN_K1,FMOD0077,FMOD0077,FMOD0077,False
Q0001,Q6K00181,Q6K00181_N05,TEST_KNOWN_K1,FMOD0077,FMOD0077,FMOD0077,False
Q0001,Q6K00181,Q6K00181_N06,TEST_KNOWN_K1,FMOD0077,FMOD0077,FMOD0077,False
Q0003,Q6K00183,Q6K00183_N01,TEST_KNOWN_K1,FMOD0023,FMOD0023,FMOD0023,False
Q0003,Q6K00183,Q6K00183_N05,TEST_KNOWN_K1,FMOD0023,FMOD0023,FMOD0023,False
Q0004,Q6K00184,Q6K00184_N02,TEST_KNOWN_K1,FMOD0004,FMOD0004,FMOD0004,True
Q0004,Q6K00184,Q6K00184_N03,TEST_KNOWN_K1,FMOD0004,UNKNOWN,FMOD0004,True
Q0004,Q6K00184,Q6K00184_N04,TEST_KNOWN_K1,FMOD0004,FMOD0004,FMOD0004,True
Q0004,Q6K00184,Q6K00184_N06,TEST_KNOWN_K1,FMOD0004,UNKNOWN,FMOD0004,True
Q0004,Q6K00184,Q6K00184_N07,TEST_KNOWN_K1,FMOD0004,FMOD0004,FMOD0004,True
Q0005,Q6K00185,Q6K00185_N01,TEST_KNOWN_K1,FMOD0096,FMOD0096,UNKNOWN,False
Q0005,Q6K00185,Q6K00185_N03,TEST_KNOWN_K1,FMOD0096,UNKNOWN,FMOD0096,False
Q0005,Q6K00185,Q6K00185_N04,TEST_KNOWN_K1,FMOD0096,FMOD0096,UNKNOWN,False
Q0005,Q6K00185,Q6K00185_N06,TEST_KNOWN_K1,FMOD0096,FMOD0096,FMOD0096,False
Q0005,Q6K00185,Q6K00185_N07,TEST_KNOWN_K1,FMOD0096,FMOD0096,FMOD0096,False
Q0006,Q6K00186,Q6K00186_N01,TEST_KNOWN_K1,FMOD0077,FMOD0077,FMOD0077,False
Q0006,Q6K00186,Q6K00186_N02,TEST_KNOWN_K1,FMOD0077,FMOD0077,FMOD0077,False
