query_id,node_id,scenario,modality,parent_token,evaluation_label,private_source_fresh_id,donor_query_id,donor_node_id,source_component_sha256,payload_relpath
Q11A0001,Q11A0001_N01,MU_1K2U,CODE,K0,FMOD0044,FMOD0044,Q6K00361,Q6K00361_N02,8306bc3475a68857db118a63b9b2f884030fd36d9d55e7c019c935d97c2dfc56,queries/Q6K00361/Q6K00361_N02.bin
Q11A0001,Q11A0001_N02,MU_1K2U,CODE,K0,FMOD0044,FMOD0044,Q6K00274,Q6K00274_N07,4e9c69e0f17b4420072fb1cd2744fa77ff900e5d9687a021b5799e9b9fdbafa4,queries/Q6K00274/Q6K00274_N07.bin
Q11A0001,Q11A0001_N03,MU_1K2U,CODE,U0,UNKNOWN,FMOD0090,Q6K00414,Q6K00414_N07,5d679b65d094d796593f13a5d5463b5b0e2316463e06332b6ce18e405b96d1ed,queries/Q6K00414/Q6K00414_N07.bin
Q11A0001,Q11A0001_N04,MU_1K2U,CODE,U0,UNKNOWN,FMOD0090,Q6K00533,Q6K00533_N02,22640c40db5a4bb1a8dcfe1fd2b66ee296070266eb155e07fc34e0ce2fe16ef0,queries/Q6K00533/Q6K00533_N02.bin
Q11A0001,Q11A0001_N05,MU_1K2U,CODE,U1,UNKNOWN,FMOD0094,Q6K00513,Q6K00513_N03,8c12f15e7f34f8c64a4a0747fc9371dcc7103ffa2312d819c41f35ba881c928e,queries/Q6K00513/Q6K00513_N03.bin
Q11A0001,Q11A0001_N06,MU_1K2U,STRUCTURED,U1,UNKNOWN,FMOD0094,Q6K00513,Q6K00513_N05,d5a459b023577444e56943bb32a4f55883beb1140920402aca3168421d2120da,queries/Q6K00513/Q6K00513_N05.bin
Q11A0001,Q11A0001_N07,MU_1K2U,IMAGE,K0,FMOD0044,FMOD0044,Q6K00352,Q6K00352_N06,c3cc50eb0c68c5b57883b239a9e007bc4ce78107fe157da93a5fa8c62803a0d1,queries/Q6K00352/Q6K00352_N06.png
Q11A0002,Q11A0002_N01,MU_1K2U,CODE,K0,FMOD0099,FMOD0099,Q6K00375,Q6K00375_N02,4b9158a602b65101bbe8fac4bb22699f43194aa1c45e05fc29ee7c55bc9e67c3,queries/Q6K00375/Q6K00375_N02.bin
Q11A0002,Q11A0002_N02,MU_1K2U,CODE,K0,FMOD0099,FMOD0099,Q6K00345,Q6K00345_N01,4b9158a602b65101bbe8fac4bb22699f43194aa1c45e05fc29ee7c55bc9e67c3,queries/Q6K00345/Q6K00345_N01.bin
Q11A0002,Q11A0002_N03,MU_1K2U,CODE,U0,UNKNOWN,FMOD0048,Q6K00457,Q6K00457_N04,c7a70f95635a9460192da428b64650e87b0bdd87b535df63b4749d4e12924ed4,queries/Q6K00457/Q6K00457_N04.bin
Q11A0002,Q11A0002_N04,MU_1K2U,CODE,U0,UNKNOWN,FMOD0048,Q6K00428,Q6K00428_N02,d89e7ea1672c9424c53a9153d06985ed1a32389141dcb3b0967c77297e086c0f,queries/Q6K00428/Q6K00428_N02.bin
Q11A0002,Q11A0002_N05,MU_1K2U,CODE,U1,UNKNOWN,FMOD0046,Q6K00399,Q6K00399_N03,94680203826eba262e225ff916bec9b0baa62517d8b817816813c4e645d38b20,queries/Q6K00399/Q6K00399_N03.bin
Q11A0002,Q11A0002_N06,MU_1K2U,STRUCTURED,U1,UNKNOWN,FMOD0046,Q6K00378,Q6K00378_N06,33acc6fba776ab2d41e012f8ec9263903886522d659d031197329b8e56cb15e0,queries/Q6K00378/Q6K00378_N06.bin
Q11A0002,Q11A0002_N07,MU_1K2U,IMAGE,K0,FMOD0099,FMOD0099,Q6K00354,Q6K00354_N06,bb367e4e6f421c518d8ecc994ea9237988602f69b178cab9e629e62cb958de63,queries/Q6K00354/Q6K00354_N06.png
Q11A0003,Q11A0003_N01,MU_1K2U,CODE,K0,FMOD0005,FMOD0005,Q6K00302,Q6K00302_N05,3de840acda32239f3ed090ce10a620b26d58e46767742002fd7bd775cf39f1ff,queries/Q6K00302/Q6K00302_N05.bin
Q11A0003,Q11A0003_N02,MU_1K2U,CODE,K0,FMOD0005,FMOD0005,Q6K00331,Q6K00331_N02,c39c8740f40e8a0a620528bd4b97ea73e40baad722110f525dce4ea4c14ff793,queries/Q6K00331/Q6K00331_N02.bin
Q11A0003,Q11A0003_N03,MU_1K2U,CODE,U0,UNKNOWN,FMOD0090,Q6K00489,Q6K00489_N05,01565448e3298da91e6a85b629d970fe57f7899a11dd4f5045b08c599fc49138,queries/Q6K00489/Q6K00489_N05.bin
