query_id,parent_set_match,candidate_top10_match,selected_subset_match,k_match,component_matches,full_match,package_size_bytes
Q6K00181,True,True,True,True,7,True,65985
Q6K00182,True,True,True,True,7,True,16082
Q6K00183,True,True,True,True,7,True,45073
Q6K00184,True,True,True,True,7,True,1941223
Q6K00185,True,True,True,True,7,True,54497
Q6K00186,True,True,True,True,7,True,66499
Q6K00187,True,True,True,True,7,True,87908
Q6K00188,True,True,True,True,7,True,16057
Q6K00189,True,True,True,True,7,True,28845
Q6K00190,True,True,True,True,7,True,35342
Q6K00191,True,True,True,True,7,True,75876
Q6K00192,True,True,True,True,7,True,52600
Q6K00193,True,True,True,True,7,True,40864
Q6K00194,True,True,True,True,7,True,84275
Q6K00195,True,True,True,True,7,True,37127
Q6K00196,True,True,True,True,7,True,15373
Q6K00197,True,True,True,True,7,True,68988
Q6K00198,True,True,True,True,7,True,41933
Q6K00199,True,True,True,True,7,True,73892
Q6K00200,True,True,True,True,7,True,30371
Q6K00201,True,True,True,True,7,True,47146
Q6K00202,True,True,True,True,7,True,28249
Q6K00203,True,True,True,True,7,True,30533
Q6K00204,True,True,True,True,7,True,30004
Q6K00205,True,True,True,True,7,True,23655
Q6K00206,True,True,True,True,7,True,25679
Q6K00207,True,True,True,True,7,True,37321
Q6K00208,True,True,True,True,7,True,35560
Q6K00209,True,True,True,True,7,True,25901
Q6K00210,True,True,True,True,7,True,45374
Q6K00211,True,True,True,True,7,True,64169
Q6K00212,True,True,True,True,7,True,20116
Q6K00213,True,True,True,True,7,True,35472
Q6K00214,True,True,True,True,7,True,56806
Q6K00215,True,True,True,True,7,True,131765
Q6K00216,True,True,True,True,7,True,29680
Q6K00217,True,True,True,True,7,True,29993
Q6K00218,True,True,True,True,7,True,67683
Q6K00219,True,True,True,True,7,True,15692
Q6K00220,True,True,True,True,7,True,38683
Q6K00221,True,True,True,True,7,True,31951
Q6K00222,True,True,True,True,7,True,38211
Q6K00223,True,True,True,True,7,True,30437
Q6K00224,True,True,True,True,7,True,37313
Q6K00225,True,True,True,True,7,True,23168
Q6K00226,True,True,True,True,7,True,64913
Q6K00227,True,True,True,True,7,True,70448
Q6K00228,True,True,True,True,7,True,21296
Q6K00229,True,True,True,True,7,True,90055
Q6K00230,True,True,True,True,7,True,104756
Q6K00231,True,True,True,True,7,True,35777
