view,query_id,node_a,node_b,edge_weight,same_ground_truth_parent,is_natural_edge_private_audit
KNOWN_ONLY_40,Q6K00001,Q6K00001_N03,Q6K00001_N04,0.5,True,True
KNOWN_ONLY_40,Q6K00001,Q6K00001_N03,Q6K00001_N05,1.0,True,True
KNOWN_ONLY_40,Q6K00001,Q6K00001_N03,Q6K00001_N06,0.5,True,True
KNOWN_ONLY_40,Q6K00001,Q6K00001_N04,Q6K00001_N07,0.2,True,True
KNOWN_ONLY_40,Q6K00002,Q6K00002_N02,Q6K00002_N07,0.5,True,True
KNOWN_ONLY_40,Q6K00002,Q6K00002_N03,Q6K00002_N07,1.0,True,True
KNOWN_ONLY_40,Q6K00002,Q6K00002_N04,Q6K00002_N06,0.2,True,True
KNOWN_ONLY_40,Q6K00002,Q6K00002_N06,Q6K00002_N07,0.5,True,True
KNOWN_ONLY_40,Q6K00003,Q6K00003_N01,Q6K00003_N07,0.5,True,True
KNOWN_ONLY_40,Q6K00003,Q6K00003_N02,Q6K00003_N07,0.5,True,True
KNOWN_ONLY_40,Q6K00003,Q6K00003_N04,Q6K00003_N07,0.5,True,True
KNOWN_ONLY_40,Q6K00003,Q6K00003_N06,Q6K00003_N07,0.5,True,True
KNOWN_ONLY_40,Q6K00004,Q6K00004_N01,Q6K00004_N05,0.5,True,True
KNOWN_ONLY_40,Q6K00004,Q6K00004_N01,Q6K00004_N07,0.5,True,True
KNOWN_ONLY_40,Q6K00004,Q6K00004_N02,Q6K00004_N03,0.5,True,True
KNOWN_ONLY_40,Q6K00004,Q6K00004_N02,Q6K00004_N05,0.5,True,True
KNOWN_ONLY_40,Q6K00004,Q6K00004_N03,Q6K00004_N05,1.0,True,True
KNOWN_ONLY_40,Q6K00005,Q6K00005_N01,Q6K00005_N03,0.5,True,True
KNOWN_ONLY_40,Q6K00005,Q6K00005_N01,Q6K00005_N04,0.5,True,True
KNOWN_ONLY_40,Q6K00005,Q6K00005_N01,Q6K00005_N06,0.5,True,True
KNOWN_ONLY_40,Q6K00005,Q6K00005_N01,Q6K00005_N07,0.5,True,True
KNOWN_ONLY_40,Q6K00005,Q6K00005_N04,Q6K00005_N07,1.0,True,True
KNOWN_ONLY_40,Q6K00006,Q6K00006_N01,Q6K00006_N02,0.5,True,True
KNOWN_ONLY_40,Q6K00006,Q6K00006_N02,Q6K00006_N03,0.5,True,True
KNOWN_ONLY_40,Q6K00006,Q6K00006_N02,Q6K00006_N04,0.2,True,True
KNOWN_ONLY_40,Q6K00006,Q6K00006_N03,Q6K00006_N06,0.5,True,True
